Logger:         	MadelineProto 8.3.5
ResponseHandler: 	Inside of container, received msgs_ack from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
Login:          	Code sent successfully! Once you receive the code you should use the completePhoneLogin function.
ReadLoop:       	Reading in read loop in DC 1.0...
Session:        	Garbage collected 15 incoming messages in DC 1, 0 left
Session:        	Garbage collected 13 outgoing messages in DC 1, 0 left
LoggerLoop:     	Pausing cleanup loop in DC 1.0 for 10...
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 4 outgoing messages in DC 2, 0 left
LoggerLoop:     	Pausing cleanup loop in DC 2.0 for 10...
LoggerLoop:     	Pausing Ping loop in DC 2.0 for 5...
PingLoop:       	Ping DC 2.0
LoggerLoop:     	Pausing check loop in DC 2.0 until resume...
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
LoggerLoop:     	Pausing Ping loop in DC 1.0 for 5...
PingLoop:       	Ping DC 1.0
LoggerLoop:     	Pausing check loop in DC 1.0 until resume...
ResponseHandler: 	Received pong from DC 2
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 48) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
ReadLoop:       	Reading in read loop in DC 2.0...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received pong from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
LoggerLoop:     	Pausing Ping loop in DC 2.0 for 5...
PingLoop:       	Ping DC 2.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
ResponseHandler: 	Received pong from DC 2
ReadLoop:       	Reading in read loop in DC 2.0...
LoggerLoop:     	Pausing Ping loop in DC 1.0 for 5...
PingLoop:       	Ping DC 1.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received pong from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
Session:        	Garbage collected 2 incoming messages in DC 1, 0 left
Session:        	Garbage collected 3 outgoing messages in DC 1, 0 left
LoggerLoop:     	Pausing cleanup loop in DC 1.0 for 10...
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
LoggerLoop:     	Pausing cleanup loop in DC 2.0 for 10...
LoggerLoop:     	Pausing Ping loop in DC 2.0 for 5...
PingLoop:       	Ping DC 2.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/bot.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/bot.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/bot.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/bot.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
LoggerLoop:     	Pausing serialize for 30...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
ResponseHandler: 	Received pong from DC 2
ReadLoop:       	Reading in read loop in DC 2.0...
Login:          	Logging in as a normal user...
WriteLoop:      	Sending auth.signIn pending as encrypted message to DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
LoggerLoop:     	Pausing Ping loop in DC 1.0 for 5...
PingLoop:       	Ping DC 1.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received msg_container from DC 1
MsgIdHandler:   	Given message id (7429733471773993989) is bigger than or equal to the current limit (7429733471773993985). Please sync your date using NTP.
ResponseHandler: 	Inside of container, received pong from DC 1
ResponseHandler: 	Inside of container, received msgs_ack from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
Login:          	2FA enabled, you will have to call the complete2falogin function...
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending account.getPassword pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 36) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
LoggerLoop:     	Pausing Ping loop in DC 2.0 for 5...
PingLoop:       	Ping DC 2.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
LoggerLoop:     	Pausing Ping loop in DC 1.0 for 5...
PingLoop:       	Ping DC 1.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 48) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received pong from DC 2
ResponseHandler: 	Received pong from DC 1
ReadLoop:       	Reading in read loop in DC 2.0...
ReadLoop:       	Reading in read loop in DC 1.0...
Login:          	Logging in as a normal user...
WriteLoop:      	Sending account.getPassword pending as encrypted message to DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
Crypt:          	Executing p/g checks (1/2)...
Crypt:          	Executing p/g checks (2/2)...
Crypt:          	Executing g check...
Crypt:          	Executing p/g checks (1/2)...
Crypt:          	Executing p/g checks (2/2)...
Crypt:          	Executing g check...
Crypt:          	Executing g_a check (1/2)...
Crypt:          	Executing g_a check (2/2)...
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending auth.checkPassword pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 344) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
Session:        	Garbage collected 7 incoming messages in DC 1, 0 left
Session:        	Garbage collected 8 outgoing messages in DC 1, 1 left
LoggerLoop:     	Pausing cleanup loop in DC 1.0 for 10...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
LoggerLoop:     	Pausing cleanup loop in DC 2.0 for 10...
LoggerLoop:     	Pausing Ping loop in DC 2.0 for 5...
PingLoop:       	Ping DC 2.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
ResponseHandler: 	Received pong from DC 2
ReadLoop:       	Reading in read loop in DC 2.0...
LoggerLoop:     	Pausing Ping loop in DC 1.0 for 5...
PingLoop:       	Ping DC 1.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending account.getPassword pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 36) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received pong from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
Crypt:          	Executing p/g checks (1/2)...
Crypt:          	Executing p/g checks (2/2)...
Crypt:          	Executing g check...
Crypt:          	Executing p/g checks (1/2)...
Crypt:          	Executing p/g checks (2/2)...
Crypt:          	Executing g check...
Crypt:          	Executing g_a check (1/2)...
Crypt:          	Executing g_a check (2/2)...
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending auth.checkPassword pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 344) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
PeerDatabase:   	Updated user 1193239175
ResponseHandler: 	Received rpc_result from DC 1
Login:          	Logged in successfully!
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending users.getUsers pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 48) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
MTProto:        	Starting update system
SessionPaths:   	Waiting for exclusive lock of /var/www/html/bot.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/bot.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/bot.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/bot.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending updates.getState pending as encrypted message to DC 1.0
WriteLoop:      	Sending updates.getState pending as encrypted message to DC 1.0
WriteLoop:      	Sending updates.getState pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (4 messages of total size 108) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/bot.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/bot.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/bot.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/bot.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
WriteLoop:      	Sending users.getUsers pending as encrypted message to DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received msg_container from DC 1
MsgIdHandler:   	Given message id (7429733526123542533) is bigger than or equal to the current limit (7429733526123542529). Please sync your date using NTP.
ResponseHandler: 	Inside of container, received rpc_result from DC 1
ResponseHandler: 	Inside of container, received msgs_ack from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
WriteLoop:      	Sending help.getCdnConfig pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 36) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
ResponseHandler: 	Received rpc_result from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
WriteLoop:      	Sending help.getCdnConfig pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 36) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
ResponseHandler: 	Received rpc_result from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
WriteLoop:      	Sending help.getCdnConfig pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 36) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
entry:          	A restart was triggered!
LoggerLoop:     	Exited IPC server!
LoggerLoop:     	Exited IPC server!
APIWrapper:     	Shutting down MadelineProto (danog\MadelineProto\API)
MTProto:        	Will unreference instance
LoggerLoop:     	Exited serialize!
LoggerLoop:     	Exited phone config!
LoggerLoop:     	Exited config!
DataCenterConnection: 	Disconnecting from shared DC 2
Connection:     	Disconnecting from DC 2.0
LoggerLoop:     	Exited write loop in DC 2.0!
LoggerLoop:     	Exited check loop in DC 2.0!
LoggerLoop:     	Exited cleanup loop in DC 2.0!
LoggerLoop:     	Exited Ping loop in DC 2.0!
DataCenterConnection: 	Backed up  from DC 2.0
Connection:     	Disconnected from DC 2.0
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 2
DataCenterConnection: 	Disconnecting from shared DC 1
Connection:     	Disconnecting from DC 1.0
LoggerLoop:     	Exited write loop in DC 1.0!
LoggerLoop:     	Exited check loop in DC 1.0!
LoggerLoop:     	Exited cleanup loop in DC 1.0!
LoggerLoop:     	Exited Ping loop in DC 1.0!
DataCenterConnection: 	Backed up help.getCdnConfig, help.getCdnConfig, help.getCdnConfig,  from DC 1.0
Connection:     	Disconnected from DC 1.0
DataCenterConnection: 	Backed up 3, added to 0 existing messages) from DC 1
MTProto:        	Unreferenced instance
APIWrapper:     	Prompting final serialization...
ReadLoop:       	Stopping read loop in DC 2.0 due to reconnect...
LoggerLoop:     	Exited read loop in DC 2.0!
ReadLoop:       	Stopping read loop in DC 1.0 due to reconnect...
LoggerLoop:     	Exited read loop in DC 1.0!
SessionPaths:   	Waiting for exclusive lock of /var/www/html/bot.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/bot.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/bot.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/bot.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
APIWrapper:     	Done final serialization!
Serialization:  	Unlocking exclusive session lock!
Serialization:  	Unlocked exclusive session lock!
MTProto:        	Shutting down MadelineProto (MTProto)
MTProto:        	Will unreference instance
DataCenterConnection: 	Disconnecting from shared DC 2
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 2
DataCenterConnection: 	Disconnecting from shared DC 1
DataCenterConnection: 	Backed up 0, added to 3 existing messages) from DC 1
MTProto:        	Unreferenced instance
MTProto:        	Successfully destroyed MadelineProto
